question,choice_A,choice_B,choice_C,choice_D,correct_answer
Two objects, a sphere and a block of the same mass," are released from rest at the top of an inclined plane. The sphere rolls down the inclined plane without slipping. The block slides down the plane without friction. Which object reaches the bottom of the ramp first?,The sphere, because it gains rotational kinetic energy, but the block does not,The sphere, because it gains mechanical energy due to the torque exerted on it, but the block does not,The block, because it does not lose mechanical energy due to friction, but the sphere does,The block", because it does not gain rotational kinetic energy, but the sphere does,D
Which of the following is an essential element of the audit trail in an electronic data interchange (EDI) system?,An integrated test facility that verifies the accuracy of data.,A heuristic program that accesses remote locations.,Hardware security modules that store sensitive data.,Computer activity logs that indicate failed transactions.,D
Which of the following is the correct anatomical order of structures in the mammalian female reproductive tract?,Oviduct," uterus, rete, vagina,Oviduct, epididymis, uterus, vagina,Ovary, oviduct, uterus, vagina,Ovary, uterus", vagina, rete,C
Which of the following will help my non-electric lawnmower run?,UV rays,a cloudy day,dinosaur remains,an AC current,C
A worker needs to load a heavy box onto a truck. The worker uses a ramp to move the box because the ramp,increases the weight of the box.,reduces the gravitational force on the box.,increases the amount of friction on the box.,reduces the amount of force applied to the box.,D
Which item is used for protection from chemical splashing?,compass,hand lens,microscope,safety goggles,D
Which of the following could be used as a test for autocorrelation up to third order?,The Durbin Watson test,White's test,The RESET test,The Breusch-Godfrey test,D
A latch is ________ sensitive,both level and edge,edge,level,None,C
Which of the following deals with network intrusion detection and real-time traffic analysis?,John the Ripper,L0phtCrack,Snort,Nessus,C
Which among the following is the least strong security encryption standard?,WEP,WPA,WPA2,WPA3,A
Which of the following are included in the peripheral nervous system?,brain," spinal cord, cranial nerves,cranial nerves, spinal nerves, autonomic ganglia,spinal cord, spinal nerves, sense organs,medulla", pons, thalamus,B
If you wanted to make a metal bed frame, where would you start?,"search for rocks,make dinner",slice bread,dump out water,A
A student is measuring a liquid in a graduated cylinder. The student is not tall enough to read the measurement at eye level. Which of these is the best action for the student to take to read the measurement correctly?,stand on a chair,estimate the amount,pour out some of the liquid until it is at eye level,move the graduated cylinder to a lower table,D
Global and regional international trade agreements work by using which of the following mechanisms?,Reciprocity across multiple issues,Reputational concerns of the actors,Side payments for adjusting to the organization (such as the Common Agricultural Policy in the EU),ALL of the above,D
How many times does the Moon rotate on its axis during a lunar month?,one,two,three,four,A
A company makes 5 blue cars for every 3 white cars it makes. If the company makes 15 white cars in one day, how many blue cars will it make?,"9,13",17,25,D
Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D
What hours are set aside as the ambrosial hours for the Sikhs?,5?????7 a.m.,9?????11 p.m.,3?????6 p.m.,3?????6 a.m.,D
Which would likely be a chemical reaction,an ember,oil and water,steel and iron,play dog,A
What cells can perform photosynthesis?,animals,inorganic minerals,flora,critters,C
